30.03.2015 12:13:37,Русская,3,2,3,2,3,3,3,2,3,2,2,3,Украинец,Белоруска,2,39,4,Эстония,"15,5",4,Финские корни супруга.,5,,4,,3,Эстонский,1,,1,1,1,1,Да,1,,1,,,,,,,,5,,1,,2,2,4,2,7,3,4,3,3,2,4,5,2,1,4,1,2,4,4,6,3,7,2,,5,5,5,5,5,2,2,1,1,У законопослушных и работающих людей положение практически одинаковое.,"В чём-то да, когда прожил в стране много лет.","Зависит от самого человека, образования, воспитания!",Не думала об этом...,,
30.03.2015 12:28:13,"Русский, украинец",2,3,2,4,1,2,3,2,1,3,1,2,Русский,Украинка,1,29,2,СССР/Украина,8,1,,3,,5,,,,1,,2,2,3,2,"Достаточно, но нужно больше!",1,,,,,,,,,,5,,1,,2,1,2,1,8,3,4,3,3,2,2,5,2,3,5,1,2,2,6,7,1,3,2,,3,4,3,2,3,1,2,2,1,"Финны граждане - все у них отлично. У нефиннов тоже все хорошо, высокие соц. пособия, бесплатное обучение и др.",Уже похож)) Украина - это Европа и мысли похожи.,"Украинцев интеграция проходит через тяжелые работы, довольно нормально. Русских интеграция в чаще проходит лучше.","Не считаю. Т.к. не принимаю участия в политической деятельности Финляндии, не имею право голосования.",Испания,Тайланд
30.03.2015 12:39:30,Коми-финкой-сахалинкой (русской),3,2,3,3,4,3,3,3,4,3,3,4,Финн,Коми,2,41,3,"п. Бошняково, о. Сахалин, СССР",14,4,Переезд по национальному признаку (финские корни),5,3,5,2,,,1,,1,1,1,1,"Да, но всегда есть место совершенствованию.",1,,,,,,,,7,,5,,1,,2,4,5,1,7,3,4,4,3,3,4,3,3,2,3,2,4,4,4,1,3,4,2,,3,3,4,3,3,2,2,3,2,"Считаю, что финны имеют преимущество.","Не совсем, разный менталитет.",Всё зависит от самих нефиннов. Своя интеграция прошла успешно.,"Да, считаю. У меня есть права голоса на выборах.",Норвегия,Швеция
30.03.2015 12:46:17,украинка,2,3,2,3,3,2,2,2,3,3,3,3,украинец,русская,2,33,2,Запорожье,6,3,,4,3,5,1,,,1,,1,1,1,1,да,8,,1,,,,,,,,5,,1,,3,2,2,2,7,2,4,4,4,3,4,4,4,1,4,1,3,2,5,7,6,7,6,,2,3,3,2,5,1,1,3,1,"Если нефинн хорошо владеет финским языком, а лучше еще и шведским, и имеет финских друзей, то его положение чаще всего не хуже положения финнов.","Похож. Финны обязательны, пунктуальны и исполнительны. Я тоже. Некоторые финны бывают замкнутыми, в этом мы с ними разные. Но все же финны, на мой взгляд, куда менее замкнуты, чем многие о них думают.","Все завистит от владения языками и круга общения. По-моему, тот, кто реально настроен на интеграцию и относительно молод, имеет хорошие шансы.",Считаю.,Канада,Швеция
30.03.2015 12:52:04,татарин обрусевший,2,1,4,2,3,2,3,2,3,3,3,3,татарин,татарка,1,66,2,Пермь Россия,23,3,,4,1,3,1,3,татарский,1,,2,2,2,3,да,8,,1,,,,,,,,5,,6,,3,4,1,2,7,5,4,4,3,3,3,4,3,4,3,3,2,5,7,7,6,7,6,,3,4,4,3,4,2,2,3,2,разное,нет,не очень,"нет, конституция врёт",Англия,Швеёцария
30.03.2015 13:14:34,"в финляндии русской, в россии финкой (ингерманладка)",4,1,1,2,4,1,2,1,4,1,2,4,"финн, ингерманландец",русская,2,42,5,Ленинград,22,4,переезд из России как таковой - иммиграция,5,,3,,5,русский,1,,1,1,1,1,да,9,,1,,,4,,,,,6,"незаконченное высшее, проф.институт, курсы повышения квалификации",3,,2,2,6,2,8,4,4,3,2,2,4,5,1,1,5,1,3,5,6,3,1,2,4,,3,4,4,3,2,1,2,3,2,"Ситуация меняется постоянно, проблеммы у всех не зависимо от происхождения. иммигратны из России более грамотные и более подходящие к местному стилю жизни по привычкам, жизненным ценностям - т.е. приспособиться к жизни здесь больше шансов.","Вроде как похож, но, почему за 22 года жизни здесь я так и не пробрела хороших друзей из финов? Непонятно, общаемся только среди ""своих"", а крепкой дружбы с финами так и удалось завести.
Поверхностное общение и обмен улыбками, разговоры о погоде - дальше ни в какую!","не могу сказать, у кого как.","Право голоса есть, но как и везде решается все наверху и у простого человека, если особенно не интересует политика вообще, то власти вроде как и тоже нет. Куда большинство потянет, туда и поплывем.",финляндия,в теплую страну подальше от цивилизации
30.03.2015 13:57:19,Русская,,,,,,,,,,,,,Русский,Русская,2,32,2,Эстония,4,1,,4,,2,,4,эстонский,1,,2,1,2,,Нет,1,,1,,,,,,,,5,,1,,2,1,4,2,7,3,3,3,4,3,2,4,2,4,3,2,3,2,2,1,4,6,6,проофесия,3,1,3,3,3,5,5,2,2,,Нет,,Нет,Эстония,Россия
30.03.2015 14:38:35,Русской,3,3,4,4,3,4,4,3,3,3,4,3,Русский,Русская,2,35,2,"Горький, СССР",11,4,Замужесто,4,,5,,,,1,,1,1,1,2,Да,1,,1,,,,,,,,5,,9,,2,2,1,1,7,1,4,4,4,3,3,5,3,3,3,3,3,3,3,7,5,7,5,,4,3,3,3,3,1,1,3,2,,Нет,Достаточно успешна,Скорее нет.,Испания,Швеция
30.03.2015 16:12:00,,2,1,3,3,3,3,3,3,3,2,2,3,Русский,Русская,2,45,2,"Ленинград, СССР",22,4,вышла замуж за финна.,5,,4,,,,1,,1,1,1,1,Достаточно. Но я его всё время развиваю.,1,,1,,,,,,,,5,,1,,2,3,6,1,8,3,4,2,3,2,4,5,3,2,3,1,3,4,2,1,5,3,6,,2,4,3,2,3,1,2,2,1,"Всё очень индивидуально. Кто-то чувствует себя свободно, а кто-то как не у себя дома....у",У финнов и русских разный менталитет. Образ мыслей разный и восприятие жизни разное. Каждый по своему прав и радуется жизни по своему.,"Опять же зависит от человека. Кто-то так и не может найти себя за границей. Зависит от занятий, работы, окружения. У меня несколько знакомых русских в Финляндии. Все очень довольны своим положением.","Я от политики очень далека. На выборы, правда хожу. Но я не из тех кто может повлиять на общество.","Финляндия, теперь уже менять стала бы.","Япония, нахожусь здесь в длительной командировке, понравилось."
30.03.2015 17:34:46,russkoj,4,4,3,3,3,3,3,2,3,4,4,4,russkij,ukrainka,2,42,2,turku,22,3,,4,,,3,,,1,,1,1,1,2,da,8,,1,2,,,,,,,3,,1,,2,1,3,2,10,4,3,4,4,3,4,5,1,2,5,1,3,3,3,7,3,5,1,,1,1,2,2,2,2,2,2,2,,raznyj mentalitet.finny bolee sderzany bo vsem.druzej finnov za 22goda-troe,"v hastojastee vrema vse gorazdo proshe,ctem v 90-ye","ne sovsem.Politikoj interesujusj possredstvenno,neaktivno",v avstriju,vo franziju
